freq,psd_x,psd_y,psd_z,psd_xyz
171.1,4.238e+02,6.261e+01,6.580e+00,4.929e+02
173.0,5.767e+02,9.655e+01,6.579e+00,6.798e+02
175.0,8.455e+02,1.451e+02,7.263e+00,9.980e+02
176.9,1.213e+03,2.197e+02,7.646e+00,1.441e+03
178.9,1.656e+03,3.223e+02,5.955e+00,1.984e+03
180.8,2.051e+03,4.549e+02,5.427e+00,2.511e+03
182.7,2.214e+03,5.633e+02,5.193e+00,2.783e+03
184.7,2.028e+03,6.112e+02,4.896e+00,2.644e+03
186.6,1.418e+03,5.202e+02,4.189e+00,1.943e+03
188.6,9.691e+02,4.218e+02,4.025e+00,1.395e+03
190.5,7.788e+02,3.821e+02,3.550e+00,1.164e+03
192.5,6.620e+02,3.608e+02,3.427e+00,1.026e+03
194.4,5.647e+02,3.479e+02,3.362e+00,9.161e+02
196.4,5.215e+02,3.126e+02,3.460e+00,8.375e+02
198.3,5.378e+02,3.895e+02,5.343e+00,9.327e+02
